Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,Unpolarized capacitor,C,C2 C7,100nF,C_0805_HandSoldering,2,
2,Unpolarized capacitor,C,C1,10uF,C_0805_HandSoldering,1,
3,Unpolarized capacitor,C,C3 C4 C5,4.7uF,C_0805_HandSoldering,3,
4,,LED-RESCUE-light-sensor-module,D1 D2 D3 D4,LED,LED_0805_HandSoldering,4,
5,,INDUCTOR,L1,3.3uH,WURTH_INDUCTOR,1,
6,,CONN_01X06,P2,HEADER_01X06,Pin_Header_Straight_1x06_Pitch2.54mm,1,
7,,CONN_01X06,P1,MOLEX_01X06,Molex_KK-6410-06_06x2.54mm_Straight,1,
8,,CONN_01X02,P3,TERM_01X02,TE_TERM,1,
9,Resistor,R,R1,10R,R_0805_HandSoldering,1,
10,Resistor,R,R4,10k,R_0805_HandSoldering,1,
11,Resistor,R,R5,1k,R_0805_HandSoldering,1,
12,Resistor,R,R2 R3,4.7k,R_0805_HandSoldering,2,
13,Resistor,R,R6 R7 R8 R9,470R,R_0805_HandSoldering,4,
14,,BH1750,U3,BH1750,WSOF6,1,
15,,STR05,U1,STR05,STR05,1,
16,,VEML6030,U2,VEML6030,VEML6030,1,





Component Groups:,16
Component Count:,26
Fitted Components:,26
Number of PCBs:,1
Total components:,26
Schematic Version:,
Schematic Date:,
BoM Date:,04/06/2018 09:53:13
Schematic Source:,C:/Users/tooyi/Dropbox/tfpb/lighting-module/light-sensor-module.sch
KiCad Version:,Eeschema 4.0.7
